prompt,julia code
"###Prompt:
Translate the problem below into this DSL:

maximize (j / j)
# Variable: None
# State: W
# Control: jH
# Dynamics
W'(t) = ((74 - 16) + (35 - j)),
# Initial Conditions
W(0) = -29,
# Final Conditions
,
# State Constraints
W(t) <= 68,
# Variable Constraints
,
# Control Constraints
jH(t) <= 25
","###DSL:

@def begin
    t ∈ [0, 92], time
    W ∈ R, state
    jH ∈ R, control

    # Dynamics
    ∂(W)(t) == ((74 - 16) + (35 - j))

    # Initial Conditions
    W(0) == -29

    # Final Conditions

    # State Constraints
    W(t) ≤ 68

    # Variable Constraints

    # Control Constraints
    jH(t) ≤ 25

    # Objective
    (j / j) => max
end
<TOKEN_FINAL>"
"###Prompt:
Translate the problem below into this DSL:

maximize (P / s)
# Variable: None
# State: s, W, cT
# Control: u, s, P
# Dynamics
W'(t) = ((u - u) - (P - s))
cT'(t) = ((u + u) - (37 - P)),
# Initial Conditions
W(0) = 55
cT(0) = 24,
# Final Conditions
cT(86) = 55,
# State Constraints
W(t) => -11
cT(t) => 48,
# Variable Constraints
,
# Control Constraints
94 <= s(t) <= 48
","###DSL:

@def begin
    t ∈ [0, 86], time
    s = (W, cT) ∈ R², state
    u = (s, P) ∈ R², control

    # Dynamics
    ∂(W)(t) == ((u - u) - (P - s))
    ∂(cT)(t) == ((u + u) - (37 - P))

    # Initial Conditions
    W(0) == 55
    cT(0) == 24

    # Final Conditions
    cT(86) == 55

    # State Constraints
    W(t) ≥ -11
    cT(t) ≥ 48

    # Variable Constraints

    # Control Constraints
    94 ≤ s(t) ≤ 48

    # Objective
    (P / s) => max
end
<TOKEN_FINAL>"
"###Prompt:
Translate the problem below into this DSL:

maximize bM
# Variable: None
# State: s, S, d, U
# Control: u, bM, fq, u
# Dynamics
,
# Initial Conditions
U(66) = 81,
# Final Conditions
S(99) = 41
U(99) = L,
# State Constraints
S(t) <= I
d(t) <= -41
U(t) <= 9,
# Variable Constraints
,
# Control Constraints
-28 <= bM(t) <= -25
fq(t) => -63
u(t) <= I
where V = 16, L = 82, X = -47, tJ = 70, I = -96, I = ((19 * X) - (X / V)), kC = ((L - 31) + (L / -12))","###DSL:
V = 16
L = 82
X = -47
tJ = 70
I = -96
I = ((19 * X) - (X / V))
kC = ((L - 31) + (L / -12))

@def begin
    t ∈ [66, 99], time
    s = (S, d, U) ∈ R³, state
    u = (bM, fq, u) ∈ R³, control

    # Dynamics

    # Initial Conditions
    U(66) == 81

    # Final Conditions
    S(99) == 41
    U(99) == L

    # State Constraints
    S(t) ≤ I
    d(t) ≤ -41
    U(t) ≤ 9

    # Variable Constraints

    # Control Constraints
    -28 ≤ bM(t) ≤ -25
    fq(t) ≥ -63
    u(t) ≤ I

    # Objective
    bM => max
end
<TOKEN_FINAL>"
"###Prompt:
Translate the problem below into this DSL:

minimize (s + k)
# Variable: x, tf, rx, ti
# State: s, RM, sy
# Control: u, kA, VM
# Dynamics
sy'(t) = ((-87 * 23) + (58 / k)),
# Initial Conditions
sy(ti) = -35,
# Final Conditions
,
# State Constraints
RM(t) => -79
sy(t) => E,
# Variable Constraints
rx => k,
# Control Constraints
-71 <= VM(t) <= ik
where k = 82, E = -1, v = 39, ik = -97","###DSL:
k = 82
E = -1
v = 39
ik = -97

@def begin
    x = (tf, rx, ti) ∈ R³, variable
    t ∈ [ti, tf], time
    s = (RM, sy) ∈ R², state
    u = (kA, VM) ∈ R², control

    # Dynamics
    ∂(sy)(t) == ((-87 * 23) + (58 / k))

    # Initial Conditions
    sy(ti) == -35

    # Final Conditions

    # State Constraints
    RM(t) ≥ -79
    sy(t) ≥ E

    # Variable Constraints
    rx ≥ k
    ti ≤ tf

    # Control Constraints
    -71 ≤ VM(t) ≤ ik

    # Objective
    (s + k) => min
end
<TOKEN_FINAL>"
"###Prompt:
Translate the problem below into this DSL:

maximize (Z * L)
# Variable: x, tf, ti, ES
# State: s, Z, S, o
# Control: u, L, hh
# Dynamics
o'(t) = ((t + -37) - (G * 92)),
# Initial Conditions
Z(ti) = F
S(ti) = G
o(ti) = dh,
# Final Conditions
Z(tf) = dh
S(tf) = F
o(tf) = -40,
# State Constraints
Z(t) => 96
S(t) <= G
o(t) => -55,
# Variable Constraints
,
# Control Constraints
rc => L(t) => F
where G = -40, dh = 3, F = -4, rc = 98","###DSL:
G = -40
dh = 3
F = -4
rc = 98

@def begin
    x = (tf, ti, ES) ∈ R³, variable
    t ∈ [ti, tf], time
    s = (Z, S, o) ∈ R³, state
    u = (L, hh) ∈ R², control

    # Dynamics
    ∂(o)(t) == ((t + -37) - (G * 92))

    # Initial Conditions
    Z(ti) == F
    S(ti) == G
    o(ti) == dh

    # Final Conditions
    Z(tf) == dh
    S(tf) == F
    o(tf) == -40

    # State Constraints
    Z(t) ≥ 96
    S(t) ≤ G
    o(t) ≥ -55

    # Variable Constraints
    ti ≤ tf

    # Control Constraints
    rc ≥ L(t) ≥ F

    # Objective
    (Z * L) => max
end
<TOKEN_FINAL>"
"###Prompt:
Translate the problem below into this DSL:

maximize J
# Variable: J
# State: I
# Control: EZ
# Dynamics
I'(t) = ((J / 50) / (93 / E)),
# Initial Conditions
,
# Final Conditions
I(52) = 9,
# State Constraints
I(t) <= mG,
# Variable Constraints
J => -65,
# Control Constraints
EZ(t) <= -41
where c = 25, mG = -87, J = -77","###DSL:
c = 25
mG = -87
J = -77

@def begin
    J ∈ R, variable
    t ∈ [37, 52], time
    I ∈ R, state
    EZ ∈ R, control

    # Dynamics
    ∂(I)(t) == ((J / 50) / (93 / E))

    # Initial Conditions

    # Final Conditions
    I(52) == 9

    # State Constraints
    I(t) ≤ mG

    # Variable Constraints
    J ≥ -65

    # Control Constraints
    EZ(t) ≤ -41

    # Objective
    J => max
end
<TOKEN_FINAL>"
"###Prompt:
Translate the problem below into this DSL:

maximize (w / V)
# Variable: x, ti, wY, Go
# State: V
# Control: u, kq, mM, p
# Dynamics
V'(t) = ((95 / u) + (-79 + k)),
# Initial Conditions
,
# Final Conditions
,
# State Constraints
,
# Variable Constraints
wY => -79
Go <= Qn,
# Control Constraints
kq(t) <= fZ
fZ <= p(t) <= Qn
where fZ = ((51 - -3) * (47 + 57)), Qn = ((fZ + -93) - (-47 + 22))","###DSL:
fZ = ((51 - -3) * (47 + 57))
Qn = ((fZ + -93) - (-47 + 22))

@def begin
    x = (ti, wY, Go) ∈ R³, variable
    t ∈ [ti, 99], time
    V ∈ R, state
    u = (kq, mM, p) ∈ R³, control

    # Dynamics
    ∂(V)(t) == ((95 / u) + (-79 + k))

    # Initial Conditions

    # Final Conditions

    # State Constraints

    # Variable Constraints
    ti ≤ 99
    wY ≤ -79
    Go ≥ Qn

    # Control Constraints
    kq(t) ≤ fZ
    fZ ≤ p(t) ≤ Qn

    # Objective
    (w / V) => max
end
<TOKEN_FINAL>"
"###Prompt:
Translate the problem below into this DSL:

minimize q
# Variable: None
# State: s, v, q, n
# Control: u, eE, o
# Dynamics
v'(t) = ((U - V) / (86 + -12))
n'(t) = ((62 * 19) - (t * -17)),
# Initial Conditions
q(35) = -2
n(35) = -23,
# Final Conditions
q(74) = 83
n(74) = tu,
# State Constraints
q(t) => 71
n(t) => UO,
# Variable Constraints
,
# Control Constraints
-9 => eE(t) => 60
VW <= o(t) <= -42
where tu = -54, UO = ((tu + tu) - (-85 + tu)), VW = ((-96 + UO) / (UO - UO))K(q) = ((q / -92) / (V + 0)), W(q) = ((-47 / -97) * (-89 - q)), ","###DSL:
tu = -54
UO = ((tu + tu) - (-85 + tu))
VW = ((-96 + UO) / (UO - UO))
K(q) = ((q / -92) / (V + 0))
W(q) = ((-47 / -97) * (-89 - q))

@def begin
    t ∈ [35, 74], time
    s = (v, q, n) ∈ R³, state
    u = (eE, o) ∈ R², control

    # Dynamics
    ∂(v)(t) == ((U - V) / (86 + -12))
    ∂(n)(t) == ((62 * 19) - (t * -17))

    # Initial Conditions
    q(35) == -2
    n(35) == -23

    # Final Conditions
    q(74) == 83
    n(74) == tu

    # State Constraints
    q(t) ≥ 71
    n(t) ≥ UO

    # Variable Constraints

    # Control Constraints
    -9 ≥ eE(t) ≥ 60
    VW ≤ o(t) ≤ -42

    # Objective
    q => min
end
<TOKEN_FINAL>"
"###Prompt:
Translate the problem below into this DSL:

minimize Ys
# Variable: x, tf, Ys
# State: s, nW, XB, Fv
# Control: u, FE, M, N
# Dynamics
XB'(t) = ((-15 / 81) * (56 - L)),
# Initial Conditions
nW(46) = 78
XB(46) = -41
Fv(46) = 47,
# Final Conditions
nW(tf) = L,
# State Constraints
nW(t) => 34
XB(t) => L,
# Variable Constraints
Ys => -26,
# Control Constraints
FE(t) => 52
M(t) => d
N(t) => 26
where L = -93, d = -6, Ig = 87, L = 92, H = -73","###DSL:
L = -93
d = -6
Ig = 87
L = 92
H = -73

@def begin
    x = (tf, Ys) ∈ R², variable
    t ∈ [46, tf], time
    s = (nW, XB, Fv) ∈ R³, state
    u = (FE, M, N) ∈ R³, control

    # Dynamics
    ∂(XB)(t) == ((-15 / 81) * (56 - L))

    # Initial Conditions
    nW(46) == 78
    XB(46) == -41
    Fv(46) == 47

    # Final Conditions
    nW(tf) == L

    # State Constraints
    nW(t) ≥ 34
    XB(t) ≥ L

    # Variable Constraints
    tf ≥ 46
    Ys ≤ -26

    # Control Constraints
    FE(t) ≥ 52
    M(t) ≥ d
    N(t) ≥ 26

    # Objective
    Ys => min
end
<TOKEN_FINAL>"
"###Prompt:
Translate the problem below into this DSL:

minimize (u + s)
# Variable: None
# State: MX
# Control: u, VO, vT, s
# Dynamics
MX'(t) = ((v - V) - (s - 39)),
# Initial Conditions
MX(0) = -78,
# Final Conditions
,
# State Constraints
,
# Variable Constraints
,
# Control Constraints
22 <= VO(t) <= -24
s(t) => 12
On(MX) = ((-21 - M) - (-91 / 61)), Z(MX) = ((M + 40) - (M / M)), ","###DSL:
On(MX) = ((-21 - M) - (-91 / 61))
Z(MX) = ((M + 40) - (M / M))

@def begin
    t ∈ [0, 82], time
    MX ∈ R, state
    u = (VO, vT, s) ∈ R³, control

    # Dynamics
    ∂(MX)(t) == ((v - V) - (s - 39))

    # Initial Conditions
    MX(0) == -78

    # Final Conditions

    # State Constraints

    # Variable Constraints

    # Control Constraints
    22 ≤ VO(t) ≤ -24
    s(t) ≥ 12

    # Objective
    (u + s) => min
end
<TOKEN_FINAL>"
